,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
16341,1,Washington,Fort Edward (Town),3.2 MI S JCT US 4 & SH197,CAREY ROAD,DEAD CREEK,County,1934,8,28
3139,9,Chenango,Pitcher (Town),4.1 MI SW JCT SH 26 + SH,26  26 92031022,UNKNOWN CREEK,NYSDOT,1986,8,28
328,1,Albany,Watervliet (City),I787 & 23RD ST - HUDSON A,787I787I11013018,23RD ST-HUDSON AV,NYSDOT,1971,8,28
3031,9,Chenango,Greene (Town),5.2 MI NE OF GREENE,COUNTY ROAD 32C,CHENANGO RIVER,County,1971,8,28
8175,4,Monroe,Mendon (Town),4.7 MI W OF EXIT 45 90I,W BLOOMFIELD RD,90IX,NYS Thruway Authority,1989,8,28
1069,9,Broome,Barker (Town),HAMLET OF ITASKA,BARKER HILL ROAD,TIOUGHNIOGA RIVER,Town,1998,8,28
16884,8,Westchester,Mount Pleasant (Town),0.2 MI S JCT RTS BRP+TSP,987FX,987GX,NYSDOT,1972,8,28
5170,5,Erie,Evans (Town),1.4 MI W JCT SH 5 & SH323,LAKE SHORE ROAD,BIG SISTER CREEK,County,2000,8,28
15763,8,Ulster,Crawford (Town),JCT RT 52/SHAWANGUNK KILL,52  52 86021218,SHAWANGUNK KILL,NYSDOT,2000,8,28
14206,6,Steuben,Cohocton (Town),2.2 MI W OF N COHOCTON,PARKS ROAD,COHOCTON RIVER,Town,1992,8,28
13760,7,St Lawrence,Fowler (Town),.8 MI N OF HAILESBORO,BAY ROAD,ISL B OSWEGATCHIE,County,1967,8,28
3023,9,Chenango,Greene (Town),2.4 MI SW JCT RT 12 + 206,12  12 92021049,GENEGAN CK RELIEF,NYSDOT,2012,8,28
14763,10,Suffolk,Huntington (Town),JCT I495 & SH 231,495I495I07031056,231 231 07011072,NYSDOT,1963,8,28
1869,5,Cattaraugus,Napoli (Town),1.3 MI SW OF NAPOLI,WHIPPLE ROAD,COLD SPRING CREEK,County,1976,8,28
5674,1,Essex,Moriah (Town),2 MI W PORT HENRY,CR  42,MCKENZIE BROOK,County,1945,8,28
5559,1,Essex,Crown Point (Town),1.5MI W CROWN PT CENTER,HAMILTON ROAD,PUTNAM CREEK,County,1960,8,28
14189,6,Steuben,Canisteo (Village),IN CANISTEO,DEPOT STREET,CANISTEO RIVER,Village,1954,8,28
5320,5,Erie,Newstead (Town),4.8 MI N JCT RTS 93 + 267,93  93 53021006,LEDGE CREEK,NYSDOT,1932,8,28
5833,7,Franklin,Chateaugay (Town),JCT RTE 11 &CHATEAUGAY R,11  11 72071293,CHATEAUGAY RIVER,NYSDOT,1989,8,28
5854,7,Franklin,Constable (Town),.5 MI SE OF TROUT RIVER,STEBINS RD,TROUT RIVER,County,1966,8,28
4481,8,Dutchess,Millerton (Village),AT MILLERTON,MILL ROAD,WEBATUCK CREEK,Village,1990,8,28
14198,6,Steuben,Cohocton (Town),.2 MILE WEST OF COHOCTON,390I390I64011109,COUNTY ROAD 121,NYSDOT,1976,8,28
2474,5,Chautauqua,Mina (Town),0.6 MI E JCT 430 + S.T.E.,86I 17 52111063,MANNISON ROAD,NYSDOT,1973,8,28
14489,6,Steuben,Prattsburg (Town),1.6 MI.S.OF PRATTSBURG,WALDO ROAD,FIVEMILE CREEK,Town,2017,8,28
15775,8,Ulster,Denning (Town),1.5 MILES EAST OF SUNDOWN,GREENVILLE ROAD,PIGEON HOLE BROOK,County,1990,8,28
3084,9,Chenango,North Norwich (Town),JCT RTE 12 + CHENANGO R,12  12 92023058,CHENANGO RIVER,NYSDOT,1977,8,28
15783,8,Ulster,Denning (Town),.1 MI S CR 101 IN SUNDOWN,SHEELEY ROAD,SUNDOWN CREEK,Town,1956,8,28
15784,8,Ulster,Denning (Town),SHEELY RD OVER SUNDOWN CR,SHEELY ROAD,SUNDOWN CREEK,County,1995,8,28
3670,3,Cortland,Cincinnatus (Town),.2 MI W INT NY 41 & CR 51,PIETY HILL ROAD,MEAD BROOK,Town,1997,8,28
13897,7,St Lawrence,Pitcairn (Town),1.75 MI N OF PITCAIRN,ROSE ROAD,BIG CREEK,County,1967,8,28
12520,1,Rensselaer,Schodack (Town),1 MILE E JCT I90 & SH 150,150 150 14011059,MOORDENER KILL,NYSDOT,2005,8,28
96,1,Albany,Albany (City),N OF EXIT 24 OVER I90,RAMP 87IX SB,90IX,NYS Thruway Authority,1986,8,28
3444,8,Columbia,Canaan (Town),JCT RTE 22+I90 INTC B3,22 22  81061291,90IX,NYS Thruway Authority,1957,8,28
11076,8,Orange,,JCT of 17 & 32,32 32083101000,984C984C83011000,NYSDOT,2019,8,28
10807,8,Orange,Monroe (Town),BETWEEN EX 129-130 - US6,6  17 83101220,ORANGE-ROCKLAND LAKE,NYSDOT,1956,8,28
16122,8,Ulster,Woodstock (Town),4.1 MI E JCT RTS 212+28,212 212 86011041,BEAVER KILL,NYSDOT,1974,8,28
9764,2,Oneida,Trenton (Town),1.4 MI S JCT SH 12 & SH2,12  12 26043084,NINEMILE FDR CANL,NYSDOT,1948,8,28
16120,8,Ulster,Wawarsing (Town),2.9 MI N OF GREENFIELD PK,ULSTER HEIGHTS RD,BOTSFORD BROOK,County,1953,8,28
2282,5,Chautauqua,Ellery (Town),AT ORIENTAL PARK,86I 17 52111198,CHAUTAUQUA LAKE,NYSDOT,1982,8,28
9847,2,Oneida,Utica (City),IN UTICA,TRENTON AVENUE,REALL CREEK,City,1933,8,28
13894,7,St Lawrence,Pitcairn (Town),2.0 MI N OF HARRISVILLE,GARRISON ROAD,BIG CREEK,County,1969,8,28
15949,8,Ulster,Saugerties (Town),5.6 MI E JCT RTS 212+375,212 212 86011177,PLATTEKILL CREEK,NYSDOT,1930,8,28
11404,3,Oswego,Sandy Creek (Village),2 MILES S OF JEFF CO LINE,COUNTY ROAD 15,81I 81I34041289,NYSDOT,1961,8,28
10811,8,Orange,Monroe (Town),3 MI W JCT SH 208 & SH 32,COUNTY ROAD 105,TRIB RAMAPO RIVER,County,1956,8,28
16130,8,Ulster,Woodstock (Town),0.6 MI W JCT RTS 212+375,212 212 86011114,TANNERY BROOK,NYSDOT,1930,8,28
10697,8,Orange,Crawford (Town),2.2 MI NW THOMPSON RIDGE,CRAWFORD STREET,SHAWANGUNK KILL,County,1975,8,28
13766,7,St Lawrence,Fowler (Town),1.5 MI NE OF FOWLER,EMERYVILLE ROAD,OSWEGATCHIE RIVER,County,1995,8,28
7088,7,Jefferson,,5 MI N INT I81 & SH 411,81I 7305 1441,UNKNOWN,NYSDOT,1962,8,28
6932,7,Jefferson,Hounsfield (Town),5.5 MI SW OF WATERTOWN,COUNTY ROAD 63,MILL CREEK,County,2001,8,28
3167,9,Chenango,Preston (Town),Tamarac Road,TAMARAC ROAD,FLY MEADOW CREEK,County,2011,8,28
4503,8,Dutchess,Pine Plains (Town),0.5 MI SW OF BETHEL,CARPENTER HILL RD,SHEKOMEKO CREEK,County,1947,8,28
14026,6,Steuben,Avoca (Town),0.6 MI NW JCT RTS 17 +415,415  15 64011383,SALMON CREEK,NYSDOT,2019,8,28
8018,4,Monroe,Greece (Town),1.9 MI N JCT RT 261 & 18,261 261 43011048,BUTTONWOOD CREEK,NYSDOT,1993,8,28
11012,8,Orange,Warwick (Village),RTS 17A+94 WARWICK,17A 17A83011104,WAWAYANDA CREEK,NYSDOT,1883,8,28
14556,6,Steuben,Urbana (Town),0.2 MI S OF HAMMONDSPORT,54A 54A64011002,COLD BROOK,NYSDOT,2015,8,28
12674,11,Richmond,New York (City),IN NEW DORP,BANCROFT AVENUE,SIRT SOUTH SHORE,Metropolitan Transportation Authority,1952,8,28
16541,4,Wayne,Savannah (Town),1.0 MI W JCT RTS 31 + 89,31  31 37061218,BLACK CREEK,NYSDOT,1965,8,28
5846,7,Franklin,Constable (Town),.25 MI WEST OF CONSTABLE,122 122 72011052,TROUT RIVER,NYSDOT,1986,8,28
