,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
12223,11,Queens,New York (City),IN MIDDLE VILLAGE,METROPOLITAN AVE,CSX TRANS/CPR&P&W,City,1916,11,1
11984,11,Queens,New York (City),AT MIDDLE VILLAGE,57TH AVENUE,CSX TRANS/CPR&P&W,City,1916,11,1
12204,11,Queens,New York (City),AT MIDDLE VILLAGE,JUNIPER BLVD S,CSX TRANS/CPR&P&W,City,1916,11,1
6555,2,Herkimer,Columbia (Town),1 MILE SE OF CEDARVILLE,COUNTY ROAD 85,UNADILLA RIVER,County,2013,11,2
10010,3,Onondaga,Cicero (Town),JCT OF RTS 481 NB & I-81,481I481I33031000,81I 81I33033056,NYSDOT,1986,11,2
15591,3,Tompkins,Dryden (Town),1.6 MI NE JCT RTS 366 +13,366 366 36011066,FALL CREEK,NYSDOT,1932,11,2
16081,8,Ulster,Ulster (Town),1.7 MI N OF KINGSTON,CR 31,87IX,NYS Thruway Authority,2016,11,2
10011,3,Onondaga,Cicero (Town),JCT OF RTS 481 SB & I-81,481I481I33031000,81I 81I33033056,NYSDOT,1986,11,2
12745,11,Richmond,,I278 OVER THE NARROWS,278I,278I 278I02021011,MTA Bridges and Tunnels (aka TBTA),2017,11,2
3460,8,Columbia,Canaan (Town),1.7 MI SE OF EAST CHATHAM,SAYRE HILL ROAD,90IX,NYS Thruway Authority,1957,11,2
17158,8,Westchester,White Plains (City),JCT I287 & RTE 119,119 119 87012017,287I 287I,NYSDOT,2008,11,2
9698,2,Oneida,Remsen (Town),S FORESTPORT RES E RTE12,DUSTIN ROAD,KAYUTA LAKE,NYSDOT,2016,11,2
16773,8,Westchester,Harrison (Village),1.2 MI E JCT I287 & HRP,BOWMAN AVENUE,287IX,NYSDOT,1960,11,2
14048,6,Steuben,Avoca (Village),.3 MILE NW OF AVOCA,415 15 64011402,COHOCTON RIVER,NYSDOT,2008,11,2
8313,4,Monroe,Rochester (City),0.1MI N JCT I490WB W MAIN,940T940T43011000,940T940T43A14A01,NYSDOT,1974,11,2
10017,3,Onondaga,Cicero (Town),.6 MI N JCT I81 & SH 481,SOUTH BAY RD,81I 81I33033062,NYSDOT,1959,11,2
16860,8,Westchester,Mount Pleasant (Town),0.7 MI E JCT RTS 117+9,117 117 87011007,SLEEPY HOLLOW RD,NYSDOT,1970,11,2
16108,8,Ulster,Wawarsing (Town),2 MI NW JCT 55 & 209,Cutler Road,VERNOOY KILL,County,2009,11,2
12551,1,Rensselaer,Schodack (Town),1.15MI E INTER.B1 ON 90I,WOODWARD ROAD,90IX WB,NYS Thruway Authority,1956,11,2
4982,5,Erie,Cheektowaga (Town),.1 MI W JCT SH240 & SH354,90IX,NY 354 CLINTON ST,NYS Thruway Authority,2002,11,2
8040,4,Monroe,Greece (Town),6.1MI E JCT LOSP+RTE 261,947A947A43021208,DEWEY AVE  CR 132,NYSDOT,1956,11,2
