,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
12730,11,Richmond,New York (City),1 MI NW OF VERZ - NAR BRG,TOMPKINS AVENUE,WILLOW AVENUE,City,1931,10,12
8157,4,Monroe,Irondequoit (Town),2.1MI N JCT RTS 47+286,BAY VIEW RD,590 590 43013015,NYSDOT,1957,10,12
15662,3,Tompkins,Ithaca (City),JUST N JCT SH 79 & INLET,96  96 36022122,FLOOD CONTROL CHANNEL,NYSDOT,1996,10,12
1885,5,Cattaraugus,Olean (City),OLEAN N.Y. INT ON RTE 17,16  16 51121D01,86I 17 51124018,NYSDOT,1973,10,12
4901,5,Erie,Buffalo (City),0.9 MI.NE JCT RTS 5 & 198,AMHERST STREET,CSXT,City,1909,10,12
327,1,Albany,Watervliet (City),0.6 MI N JCT I787 & 378,787I787I11013002,LITTLE RIVER,NYSDOT,1971,10,12
2745,6,Chemung,Big Flats (Town),3.0 MI W OF HORSEHEADS,CR43 SCHWEIZER RD,SING SING CREEK,County,2010,10,12
13568,6,Schuyler,Hector (Town),1.1 MI NE OF PERRY CITY,WILLIAMEE ROAD,JOHN BLACK CREEK,County,1985,10,12
4921,5,Erie,Buffalo (City),1.4 MI NE JCT RTS 33 + 5,HIGH STREET,33  33 53011024,NYSDOT,1963,10,12
2743,6,Chemung,Big Flats (Town),3.4 MI W OF HORSEHEADS,CR17 SING SING RD,SING SING CREEK,County,2012,10,12
11993,11,Queens,New York (City),JCT GCP & I678,678I678IX5M11041,907M907MX5M14080,NYSDOT,2014,10,12
8308,4,Monroe,Rochester (City),WB&Ramp LA over South Ave,490IWB & Ramp LA,Ramp Z,NYSDOT,2007,10,12
119,1,Albany,Albany (City),1.1 MI S JCT I90 & I787,WATER STREET,DELAWARE & HUDSON,NYSDOT,1970,10,13
667,6,Allegany,Scio (Town),0.5 MI W OF SCIO,COUNTY ROAD 9,KNIGHT CREEK,County,1955,10,13
12596,11,Richmond,New York (City),I278 OVER THE NARROWS,278I278I02021011,WESTBOUND I278,MTA Bridges and Tunnels (aka TBTA),1961,10,14
5549,1,Essex,Chesterfield (Town),1 MI EAST OF KEESEVILLE,PORT DOUGLAS ROAD,DELAWARE & HUDSON,County,2000,10,14
16469,1,Washington,Whitehall (Village),IN WHITEHALL,CLINTON STREET,DELAWARE & HUDSON,Railroad,1932,10,14
17258,8,Westchester,Yonkers (City),2.9 MI SW HASTINGS ON HD.,JFK MEMORIAL DR,MNRR HU LINE,City,1964,10,14
6750,2,Herkimer,Schuyler (Town),.3 MI E OF EAST SCHUYLER,90IX  EB,WATKINS RD CR 211,NYS Thruway Authority,2004,10,14
13990,6,Steuben,Addison (Town),1.5 MI W OF ADDISON,COUNTY ROAD 119,CATHERINE CREEK,County,1961,10,14
9874,2,Oneida,Verona (Town),AT DURHAMVILLE,CENTER STREET,OLD ERIE CANAL,NYSDOT,1927,10,14
7785,2,Madison,Oneida (City),AT CITY OF ONEIDA,CR13 COBB STREET,OLD ERIE CANAL,NYSDOT,1925,10,14
2582,5,Chautauqua,Portland (Town),1 MILE SE OF BROCTON,ELLICOTT ROAD,SLIPPERY ROCK CRK,County,2007,10,14
17388,4,Wyoming,Eagle (Town),0.1MI N JCT RTS 362 + 39,362 362 46011001,WISCOY CREEK,NYSDOT,1950,10,14
13256,1,Schenectady,Glenville (Town),4.1MI NE OF SCHENECTADY,914V914V16011014,ALPLAUS KILL,NYSDOT,2013,10,14
