,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
7770,2,Madison,Madison (Town),4 MI E JCT RTS 20 < 46,WATER ST,ORISKANY CK,County,1954,6,13
12757,8,Rockland,Chestnut Ridge (Village),JCT OF RTS I87 & 45,87IX,45,NYS Thruway Authority,1953,6,13
5466,5,Erie,Tonawanda (Town),.9 MILE E JCT I190 & I290,ENSMINGER ROAD,TWO MILE CREEK,County,1957,6,13
7826,2,Madison,Sullivan (Town),4 MI NORTH OF CHITTENANGO,LAKEPORT ROAD,PENNOCK DITCH,County,1961,6,13
7275,11,Kings,New York (City),IN BEDFORD-STUYVESANT,LINCOLN PLACE,NYCTA-FRANKLIN LN,Transit Authority,1997,6,13
10709,8,Orange,Deerpark (Town),0.3 MI E JCT I84+DELAW R,84I 84I83011003,COUNTY ROAD 16,NYSDOT,1967,6,13
13721,7,St Lawrence,Colton (Town),IN VILLAGE OF SO COLTON,56  56 75011187,RAQUETTE RIVER,NYSDOT,1994,6,13
3308,7,Clinton,Ellenburg (Town),.1MI N ELLENBURG CENTER,BRANDY BROOK ROAD,N BR GRT CHAZY RV,County,1938,6,13
3945,9,Delaware,Davenport (Town),10.4 MI NW JCT SH23 &SH10,23  23 93031125,MIDDLE BROOK,NYSDOT,1940,6,13
6164,4,Genesee,Darien (Town),1.6 MI NE DARIEN CENTER,SHARRICK ROAD,MURDER CREEK,County,1949,6,13
5742,1,Essex,Schroon (Town),1.5 MI N PARADOX,LETSONVILLE ROAD,PARADOX CREEK,County,2001,6,13
11246,3,Oswego,Hannibal (Town),3.6 MI SE OF HANNIBAL,JAMES ROAD,NINEMILE CREEK,County,1990,6,13
13901,7,St Lawrence,Potsdam (Town),.3 MI NW JCT SH 56 & SH 7,56  56 75011312,PARKHURST BROOK,NYSDOT,1947,6,13
4720,5,Erie,Amherst (Town),1 MI NE JCT SH356 & US62,EAST ROBINSON RD,TRIB ELLICOTT CRK,County,2014,6,13
13701,7,St Lawrence,Canton (Town),1 MI SOUTH RT11 IN CANTON,MINER STREET,GRASSE RIVER,County,1991,6,13
90,1,Albany,Albany (City),2.39MI NW INT23 ON I87,NEW SCOTLAND AVE,87IX,NYS Thruway Authority,1954,6,13
3311,7,Clinton,Ellenburg (Town),HAMLET OF ELLENBURG CTR,CR5 OLD NYS 190,N BR GT CHAZY RIV,County,1937,6,13
1990,5,Cattaraugus,South Valley (Town),5.5 MI SW OF STEAMBURG,BONE RUN ROAD,BONE RUN CREEK,County,1982,6,13
15082,9,Sullivan,Fremont (Town),IN FREMONT CENTER,HANKINS ROAD,HANKINS CREEK,County,1998,6,13
13669,3,Seneca,Varick (Town),3.2 MI SW JCT RTS 96A&336,COUNTY ROAD 125,REEDER CREEK,County,1987,6,13
1991,5,Cattaraugus,South Valley (Town),6.1 MI SW OF STEAMBURG,BONE RUN ROAD,BONE RUN,County,1953,6,13
1041,11,Bronx,New York (City),N END OF RIVERDALE PARK,WEST 254TH STREET,METRO NO COMMUTER,Railroad,1907,6,13
3850,3,Cortland,Willet (Town),1.6 MI E JCT SH 41 & SH 2,41  41 32031035,WILLET CREEK,NYSDOT,1998,6,13
3851,3,Cortland,Willet (Town),1.0 MI E JCT RTS 41 & 221,41  41 32031042,WILLET CREEK,NYSDOT,1998,6,13
13969,7,St Lawrence,Stockholm (Town),5.25 MI NE OF PARISHVILLE,NICHOLS RD,DENJIM BROOK,County,1975,6,13
5014,5,Erie,Cheektowaga (Town),1.2 MI N JCT I90 & SH 130,Walden Avenue,90 IX,NYS Thruway Authority,1950,6,13
2897,6,Chemung,Southport (Town),2.1 MI NW OF SEELEY CREEK,CLARK HOLLOW ROAD,CLARK HOLLOW CRK,Town,1998,6,13
10708,8,Orange,Deerpark (Town),0.3 MI E JCT I84+DELAW R,84I 84I83011003,COUNTY ROAD 16,NYSDOT,1967,6,13
15035,9,Sullivan,Delaware (Town),1.1 MI S OF JEFFERSONVLLE,SICKMILLER ROAD,E BR CALLICOON CK,County,1850,6,13
10880,8,Orange,Newburgh (Town),JCT.RTE I-84 & HUDSON R.,84I 84I83014020,GRAND AVENUE,NYS Bridge Authority,1963,6,13
3550,8,Columbia,Copake (Town),.2 MI W INT TWIN BR FARM,TWIN BRIDGES ROAD,ROE JAN OVERFLOW,County,1939,6,13
10703,8,Orange,Crawford (Town),1.9 MI NE OF PINE BUSH,WALLKILL AVE,SHAWANGUNK KILL,County,2005,6,13
16674,8,Westchester,Eastchester (Town),2.5 MI N JCT RTS BRP<SBSP,907GX,BRONX RIVER,County,1921,6,13
13547,6,Schuyler,Hector (Town),2.3 MI N JCT RTS 79 + 414,414 414 63031128,TUG GLEN ELDRIDGE,NYSDOT,1922,6,13
7126,11,Kings,New York (City),ADJACENT TO YORK STREET,278I278IX2M23083,278I278IX2M24083,City,1944,6,13
13891,7,St Lawrence,Pitcairn (Town),4.4 MI SW JCT RTS 3 + 58,3   3 75041024,JENNY CREEK,NYSDOT,2007,6,13
7828,2,Madison,Sullivan (Town),2 MI NW OF CHITTENANGO,MCGRAW ROAD,CHITTENANGO CREEK,County,1932,6,13
2524,5,Chautauqua,Poland (Town),0.9 MI W KENNEDY INT,86I 17 52111351,WESTERN NY & PENN,NYSDOT,1968,6,13
9568,2,Oneida,Deerfield (Town),3MI.SO.INT.RTES 12+8,MULANEY ROAD,12  12 26043402,NYSDOT,1983,6,13
6705,2,Herkimer,Ohio (Town),2.5 MILES SW OF OHIO,CR73 FISHER ROAD,BLACK CREEK,County,2018,6,13
4486,8,Dutchess,North East (Town),AT MT. RIGAA,COUNTY ROAD 62,WEBATUCK CREEK,County,1940,6,13
15142,9,Sullivan,Liberty (Town),2.2 MI SE OF FERNDALE,DENMAN ROAD,E BR MONGAUP RVR,County,1952,6,13
7100,11,Kings,New York (City),AT NEW UTRECHT,15TH AVENUE,NYCTA SEA BEACH L,Transit Authority,2005,6,13
15247,9,Sullivan,Rockland (Town),07 MI NW EXIT 96 RTE 17,17  17 96091069,COVERED BRIDGE RD,NYSDOT,1966,6,13
6707,2,Herkimer,Ohio (Town),1 MI N OF NORTH WILMURT,FARR ROAD,TWIN LAKES STREAM,Town,1895,6,13
16895,8,Westchester,Mount Pleasant (Town),.8 MILE E OF N TARRYTOWN,KYKUIT HILL ROAD,LAKE ROAD,State - Other,1930,6,13
14603,6,Steuben,Woodhull (Town),15 MI SW OF JCT417 &CR100,COUNTY ROAD 100,ELK CREEK,County,1994,6,13
13715,7,St Lawrence,Clifton (Town),JCT.RTE.3 & OSWEGATCHIE R,3   3 75041328,OSWEGATCHIE RIVER,NYSDOT,1980,6,13
15841,8,Ulster,Kingston (City),CITY OF KINGSTON,9W  9W86032013,LINCOLN STREET,NYSDOT,1981,6,13
4454,8,Dutchess,La Grange (Town),2.2 MI NW OF ARTHURSBURG,COUNTY ROAD 21,SPROUT CREEK,County,1940,6,13
1988,5,Cattaraugus,Salamanca (Town),0.8 MI S OF ELK DALE,TOWN LINE ROAD,LITTLE VALLEY CRK,County,1973,6,13
5551,1,Essex,Chesterfield (Town),5.8 MI SOUTH GREENE ST,TROUT POND ROAD,HALE BROOK,County,2001,6,13
4589,8,Dutchess,Rhinebeck (Town),0.2 MI NE RTS 9<308,MILLER ROAD,LANDSMAN KILL,County,1957,6,13
6599,2,Herkimer,Frankfort (Town),.7 MI SW JCT CR 37 & I90,CR37 DYKE ROAD,MOHAWK RIVER,County,1981,6,13
9092,11,New York,New York (City),1.6MI NE FDR DR&BKLYN BR,HOUSTON STREET,907L907LX4M12031,City,2017,6,13
5548,1,Essex,Chesterfield (Town),1 MILE FROM CLINTONVILLE,DUGWAY ROAD,CARNEY BROOK,County,2001,6,13
11334,3,Oswego,Oswego (Town),3.0 MI SW OF OSWEGO,JOHNSON ROAD,RICE CREEK,County,1954,6,13
125,1,Albany,Berne (Town),.5 MI EAST OF EAST BERNE,443 443 11021073,FOX CREEK,NYSDOT,1963,6,13
1399,9,Broome,Union (Town),.7 MI N JCT SH 26 & SH 17,26  26 91011096,NANTICOKE CREEK,NYSDOT,1969,6,13
15248,9,Sullivan,Rockland (Town),07 MI NW EXIT 96 RTE 17,17  17 96091069,COVERED BRIDGE RD,NYSDOT,1966,6,13
1373,9,Broome,Sanford (Town),4.0 MI E JCT RTS 17 + 41,OQUAGA LAKE ROAD,17  17 91073262,NYSDOT,1961,6,13
10940,8,Orange,Wallkill (Town),JCT SH17 & WALLKILL RIVER,17   17 83101091,WALLKILL RIVER,NYSDOT,2005,6,13
14932,10,Suffolk,Smithtown (Town),IN SMITHTOWN,LANDING AVENUE,NISSEQUOGUE RIVER,County,1920,6,13
12515,1,Rensselaer,Schodack (Town),JCT RTS I90 & 9,90I 90I14022124,9   9 14071012,NYSDOT,1974,6,13
15804,8,Ulster,Esopus (Town),1.1 MI NW OF WEST PARK,VALLI ROAD,BLACK CREEK,Town,1954,6,13
8011,4,Monroe,Greece (Town),JCT OF RTS 18&390 ROL,18  18 43031195,390 390 43011067,NYSDOT,1983,6,13
5442,5,Erie,Tonawanda (Town),0.9 M S JCT RTS I190 <324,190IX,KENMORE AVE-CR189,NYS Thruway Authority,1999,6,13
9001,11,New York,New York (City),79 ST BOAT BASIN,79TH ST TRFIC CRL,79ST BT BASIN GRG,City,1935,6,14
1024,11,Bronx,New York (City),.7 MILE N JCT I87 & I95,W TREMONT AVENUE,87I 87IX1M11041,NYSDOT,1955,6,14
10400,3,Onondaga,Syracuse (City),IN LOWER ONONDAGA PARK,RICH ST,ONONDAGA CREEK,City,1977,6,14
12238,11,Queens,New York (City),JFK INTERNATIONAL AIRPORT,R-DEP,CTCW RAMP,Port Authority of NY and NJ,2002,6,14
7001,7,Jefferson,Pamelia (Town),1.3 MI N JCT I81 & SH 342,MILITARY RD,81I 81I73051290,NYSDOT,1965,6,14
16662,8,Westchester,Croton-On-Hudson (Village),JCT RTS 9+129,9   9 87032166,129  129 87011000,NYSDOT,1963,6,14
