,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
14224,6,Steuben,Corning (City),1.2MI N JCT RTS 414 & 415,86i 17 64046007,414 414 64011108,NYSDOT,1994,7,31
16678,8,Westchester,Eastchester (Town),0.3MI N JCT RTS HRP & CCP,987C 987C87022001,RESERVOIR FLUME,NYSDOT,1990,7,31
9296,5,Niagara,Middleport (Village),AT MIDDLEPORT,FRANCIS STREET,JEDDO CREEK,Village,1985,7,31
16564,4,Wayne,Wolcott (Town),7.0 MI N OF WOLCOTT,BROADWAY RD,RED CREEK,County,1950,7,31
10199,3,Onondaga,Manlius (Town),2.75 MI NE OF MINOA,HUBB-SCHEPP RD,Chittenango Creek,County,1989,7,31
1251,9,Broome,Johnson City (Village),VILLAGE OF JOHNSON CITY,HARRY L.DRIVE,LITTLE CHOCONUT CREEK,Village,1972,7,31
9195,11,New York,New York (City),IN MANHATTAN,WEST 53RD STREET,AMTRAK W.SIDE CON,City,1936,7,31
11231,3,Oswego,Fulton (City),.6 MI N JCT SH3&OSWEGO RV,ONEIDA STREET,FOSTER STREET,City,1985,7,31
9663,2,Oneida,New Hartford (Town),IN CHADWICKS,ELM STREET,SAUQUOIT CREEK,Town,1958,7,31
11423,3,Oswego,Volney (Town),.2 MI E JCT SH481 & CR57,481 481 34021092,CSX TRANSPRTATION,NYSDOT,1970,7,31
665,6,Allegany,Scio (Town),.8 MI S OF RT417 ON CR 18,COUNTY ROAD 18,BRIMMER BROOK,County,1983,7,31
16588,8,Westchester,Bedford (Town),1.4 MI N EXIT 4 OF I684,684I684I87011140,BROAD BROOK,NYSDOT,1968,7,31
11421,3,Oswego,Scriba (Town),5.0 MI SE OF OSWEGO,MYERS ROAD,BLACK CREEK,County,1946,7,31
2317,5,Chautauqua,Ellicott (Town),1.8 MI W JCT I86 & S H 60,86I 17 52111263,953B953B52011003,NYSDOT,1973,7,31
13138,1,Saratoga,Providence (Town),3 MI NE JCT NY29&NY147,ANTIOCH ROAD,ALDER CREEK,Town,1907,7,31
12151,11,Queens,New York (City),2.4 MI SE JCT I678 & SH 2,FOCH BLVD,678I678IX5M11011,NYSDOT,1948,7,31
6036,2,Fulton,Johnstown (Town),2 MI NE OF GLOVERSVILLE,COUNTY ROAD 102,WATERWORKS CREEK,County,2003,7,31
2316,5,Chautauqua,Ellicott (Town),1.8 MI W JCT I86 & S H 60,86I 17 52111263,953B953B52011003,NYSDOT,1973,7,31
7467,7,Lewis,Osceola (Town),2.4 MI W OF N. OSCEOLA,NORTH OSCEOLA RD.,STONY BROOK,Town,1932,7,31
888,11,Bronx,New York (City),JCT I95+BRONX RIVER PKWY,CBE SERVICE RD EB,907H 907HX1M11009,NYSDOT,1951,7,31
12942,8,Rockland,Sloatsburg (Village),4.6 MI S JCT I87 & CR106,87IX (NB),SEVEN LAKES DRIVE,NYS Thruway Authority,2013,7,31
12943,8,Rockland,Sloatsburg (Village),4.6 MI S JCT I87 & CR106,87IX (SB),SEVEN LAKES DRIVE,NYS Thruway Authority,2013,7,31
12918,8,Rockland,Piermont (Village),.8 MILE NE OF SPARKILL,ROCKLAND AVENUE,SPARKILL CREEK,Village,1874,7,31
756,11,Bronx,New York (City),3.1 MILES S JCT I87 & I95,87I 87IX1M12002,ST ANN'S AVENUE,NYSDOT,1960,7,31
10688,8,Orange,Cornwall On Hudson (Village),CORNWALL LANDING,SHORE ROAD,DOCK HILL CREEK,Town,1997,7,31
6667,2,Herkimer,Manheim (Town),1.7 MI SW OF DOLGEVILLE,CR146 BROCKETT ROAD,GILLETT CREEK,County,1935,7,31
14447,6,Steuben,Lindley (Town),Rt 15 over Watson Creek,99I 99I 6401 1012,Watson Creek Rd,NYSDOT,2013,7,31
8528,2,Montgomery,Florida (Town),.5 MILE SE OF MINAVILLE,CEMETERY DRIVE,S CHUCTANUNDA CK,County,1936,7,31
14450,6,Steuben,Lindley (Town),Lindley,99I 99I 6401 1037,Stowell Rd,NYSDOT,2013,7,31
6594,2,Herkimer,Frankfort (Town),3.8 MILES NW OF FRANKFORT,CR13 CENTER ROAD,FERGUSON CREEK,County,1934,7,31
12063,11,Queens,New York (City),.3 MI NE JCT GCP & I295,907M907MX5M13121,BELL BLVD,NYSDOT,1961,7,31
5133,5,Erie,Elma (Town),0.5 MI SE JCT RT 400 +422,400 400 53011079,BOWEN RD CR 361,NYSDOT,1968,7,31
4450,8,Dutchess,La Grange (Town),1.3 MI NE OF FREEDOM PLAI,987G987G82031143,JAMES BAIRD PARK ENTRANCE ROAD,NYSDOT,1946,7,31
5134,5,Erie,Elma (Town),0.5 MI SE JCT RT 400 +422,400 400 53011079,BOWEN RD CR 361,NYSDOT,1968,7,31
6034,2,Fulton,Johnstown (Town),AT NORTHBUSH,CAPE HORN ROAD,CAROGA CREEK,Town,1978,7,31
10602,4,Ontario,Victor (Town),0.3 MI W OF EXIT 44 (I90),90IX,GANARGUA CREEK,NYS Thruway Authority,1947,7,31
9434,5,Niagara,Royalton (Town),1 MILE NE OF GASPORT,SLAYTON SETTMT RD,EIGHTEEN MILE CRK,County,1966,7,31
