,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
16322,1,Washington,Fort Ann (Town),3.6 MI NE OF QUEENSBURY,149 149 18021029,HADLOCK PD OUTLET,NYSDOT,1941,9,25
16323,1,Washington,Fort Ann (Town),4.65 MI NE OF QUEENSBURY,149 149 18021040,HADLOCK PD OUTLET,NYSDOT,1941,9,25
4740,5,Erie,Amherst (Town),1 MI NE JCT SH 263 & I290,RAMP O TO SH 263,263 263 53011026,State - Other,1980,9,25
16324,1,Washington,Fort Ann (Town),5.5 MI NE OF QUEENSBURY,149 149 18021049,HALFWAY CREEK,NYSDOT,1953,9,25
4741,5,Erie,Amherst (Town),1.2 MI NE JCT RT 263+I290,RAMP P FROM RT263,263 263 53011027,State - Other,1980,9,25
3876,9,Delaware,Bovina (Town),1.5 mi north of CR6 on Bo,BOVINA ROAD,LITTLE DELAWARE R,County,2013,9,25
253,1,Albany,Guilderland (Town),1.2 MI NW OF VOORHEESVLLE,COUNTY ROAD 201,BLACK CREEK,County,1933,9,25
16321,1,Washington,Fort Ann (Town),2.7 MI NE OF QUEENSBURY,149 149 18021019,HADLOCK PD OUTLET,NYSDOT,1940,9,25
2764,6,Chemung,Catlin (Town),1 MILE NE OF POST CREEK,BACKER ROAD,EATON HOLLOW CRK,County,1980,9,25
3747,3,Cortland,Homer (Town),4.5 MI NE OF CORTLAND,CR114A E.RIV.CROS,E BR TIOUGHNIOGA,County,1913,9,25
2763,6,Chemung,Catlin (Town),1 MILE NE OF POST CREEK,BACKER ROAD,EATON HOLLOW CRK,County,1974,9,25
13631,3,Seneca,Lodi (Town),2.3 MI SOUTH OF LODI,DEAN ROAD,MILL CREEK,Town,1936,9,25
7819,2,Madison,Sullivan (Town),4.3 MI W JCT I90<INT 34,GEE RD,90IX,NYS Thruway Authority,1953,9,25
4523,8,Dutchess,Poughkeepsie (City),0.2 MI N JCT RTS 9+44+55,9   9 82052018,MAIN STREET,NYSDOT,1965,9,25
4530,8,Dutchess,Poughkeepsie (City),0.2 MI N JCT RTS 9+44+55,9   9 82052018,MAIN STREET,NYSDOT,1965,9,25
10294,3,Onondaga,Skaneateles (Village),0.1 MI W JCT RTS 20 + 321,20  20 33081015,SKANEATELES CREEK,NYSDOT,1931,9,25
2994,9,Chenango,Bainbridge (Town),JCT RTE 206+SUSQUEHANNA R,206 206 92021211,SUSQUEHANNA RIVER,NYSDOT,1953,9,25
16734,8,Westchester,Greenburgh (Town),2.1 MILES EAST OF ARDSLEY,FENIMORE ROAD,PIPE LINE ROAD,Railroad,1912,9,25
