,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
10311,3,Onondaga,Syracuse (City),JCT OF RTS I-81 NB + 5,81I 81I33032042,ERIE BOULEVARD,NYSDOT,1968,12,9
16583,8,Westchester,Bedford (Town),2.5 MI S JCT RTS 117+35,117 117 87011145,MNRR HA LINE,NYSDOT,1942,12,9
8154,4,Monroe,Irondequoit (Town),JCT ROL+RTE404,590 590 43013007,404 941B43011007,NYSDOT,1957,12,9
15467,9,Tioga,Owego (Town),OWEGO INTERCHANGE RTE 17,960JX,17  17 65063193,NYSDOT,1968,12,9
13942,7,St Lawrence,Russell (Town),LOCATED IN RUSSELL,"CR 24, JEF CO LIN",GRASSE RIVER,County,2018,12,10
5258,5,Erie,Lackawanna (City),1.0 MI SW JCT I90<RTE 219,90IX,ABBOTT RD,NYS Thruway Authority,1956,12,10
13988,7,St Lawrence,Waddington (Village),LOCATED IN WADDINGTON,"CR 44, FRANKLIN R",BIG SUCKER BROOK,County,1956,12,10
10288,3,Onondaga,Skaneateles (Town),0.9 MI E OWASCO,CR117 BENSON ROAD,DUTCH HOLLOW BK,County,2018,12,10
10410,3,Onondaga,Syracuse (City),500 ft NW Armory,WALTON STREET,ONONDAGA CREEK,City,1927,12,10
8280,4,Monroe,Rochester (City),IN ROCHESTER,31 X,GENESEE RIVER,City,1923,12,10
13339,1,Schenectady,Schenectady (City),1.6 MI NW JCT SH146& I890,ON-RAMP OF I890,VACANT LAND,NYSDOT,1966,12,10
5385,5,Erie,Orchard Park (Town),2.8 MI NW OF ORCHARD PARK,BERG ROAD,N BR SMOKES CREEK,County,1981,12,10
7836,4,Monroe,Brighton (Town),JCT BARGE C + RTE 15A,15A 15A43041129,ERIE CANAL,NYSDOT,2016,12,10
144,1,Albany,Bethlehem (Town),JCT.RTES 85<87I S.EXIT 24,85  85 11011240,87I 144.70,NYSDOT,1964,12,10
4917,5,Erie,Buffalo (City),3.3 MI NE JCT RTS 33 + 5,FILLMORE AVENUE,33  33 53011043,NYSDOT,1965,12,10
15897,8,Ulster,Olive (Town),2.0 MI SW OF KRUMVILLE,UPPER SAHLER MILL ROAD,ROCHESTER CREEK,County,2008,12,10
6927,7,Jefferson,Henderson (Town),3.5 MI SW OF HENDERSON,STONY CREEK ROAD,STONY CREEK,County,2018,12,10
